epoch_idx,roi,theta_power,participant_id,condition,task
49,centro_temporal,0.27034560627985166,sub-01,NS,eyesopen
50,centro_temporal,0.23787489034332873,sub-01,NS,eyesopen
51,centro_temporal,0.2158430263355351,sub-01,NS,eyesopen
52,centro_temporal,0.23647299261806579,sub-01,NS,eyesopen
53,centro_temporal,0.2742538150076294,sub-01,NS,eyesopen
54,centro_temporal,0.17246324758150483,sub-01,NS,eyesopen
55,centro_temporal,0.21450004678526796,sub-01,NS,eyesopen
56,centro_temporal,0.20150592447210167,sub-01,NS,eyesopen
57,centro_temporal,0.17278743659252327,sub-01,NS,eyesopen
58,centro_temporal,0.2045401152570722,sub-01,NS,eyesopen
59,centro_temporal,0.21667385739741943,sub-01,NS,eyesopen
60,centro_temporal,0.15786833599756586,sub-01,NS,eyesopen
61,centro_temporal,0.20832485931511216,sub-01,NS,eyesopen
62,centro_temporal,0.19791090017665608,sub-01,NS,eyesopen
63,centro_temporal,0.12937225413616654,sub-01,NS,eyesopen
64,centro_temporal,0.13801119583839963,sub-01,NS,eyesopen
65,centro_temporal,0.21198496346036522,sub-01,NS,eyesopen
66,centro_temporal,0.16811709996287233,sub-01,NS,eyesopen
67,centro_temporal,0.2041206730737411,sub-01,NS,eyesopen
68,centro_temporal,0.151156615931255,sub-01,NS,eyesopen
69,centro_temporal,0.17754287797353002,sub-01,NS,eyesopen
70,centro_temporal,0.1590228342180899,sub-01,NS,eyesopen
71,centro_temporal,0.20590952321196238,sub-01,NS,eyesopen
72,centro_temporal,0.14347572646657766,sub-01,NS,eyesopen
73,centro_temporal,0.17846965208973672,sub-01,NS,eyesopen
74,centro_temporal,0.16234710542320666,sub-01,NS,eyesopen
0,other,0.2015804720830835,sub-01,NS,eyesopen
1,other,0.1786508809116032,sub-01,NS,eyesopen
2,other,0.25196291412452304,sub-01,NS,eyesopen
3,other,0.20959454973905492,sub-01,NS,eyesopen
4,other,0.2394326180430345,sub-01,NS,eyesopen
5,other,0.2053390554874117,sub-01,NS,eyesopen
6,other,0.21315854932047998,sub-01,NS,eyesopen
7,other,0.10753927661480119,sub-01,NS,eyesopen
8,other,0.2669882537353418,sub-01,NS,eyesopen
9,other,0.15074304834921604,sub-01,NS,eyesopen
10,other,0.1351257494581418,sub-01,NS,eyesopen
11,other,0.17568971027860653,sub-01,NS,eyesopen
12,other,0.24075261909986231,sub-01,NS,eyesopen
13,other,0.2521532725675125,sub-01,NS,eyesopen
14,other,0.13931390229076784,sub-01,NS,eyesopen
15,other,0.17549518074014667,sub-01,NS,eyesopen
16,other,0.12366611970745203,sub-01,NS,eyesopen
17,other,0.13142061793725532,sub-01,NS,eyesopen
18,other,0.11502356643117781,sub-01,NS,eyesopen
19,other,0.2144761357964827,sub-01,NS,eyesopen
20,other,0.19649124835574447,sub-01,NS,eyesopen
21,other,0.2452494758323987,sub-01,NS,eyesopen
22,other,0.13390214246650464,sub-01,NS,eyesopen
23,other,0.23299065168884214,sub-01,NS,eyesopen
24,other,0.27424489989281187,sub-01,NS,eyesopen
25,other,0.19018280536918078,sub-01,NS,eyesopen
26,other,0.17288285801761927,sub-01,NS,eyesopen
27,other,0.19839985385573766,sub-01,NS,eyesopen
28,other,0.16416585275728962,sub-01,NS,eyesopen
29,other,0.19323990101096267,sub-01,NS,eyesopen
30,other,0.10762464990105372,sub-01,NS,eyesopen
31,other,0.1138436459749124,sub-01,NS,eyesopen
32,other,0.19933056232476382,sub-01,NS,eyesopen
33,other,0.1375882787021752,sub-01,NS,eyesopen
34,other,0.1643895192744351,sub-01,NS,eyesopen
35,other,0.2282438304381329,sub-01,NS,eyesopen
36,other,0.22500585194893716,sub-01,NS,eyesopen
37,other,0.16944227066820186,sub-01,NS,eyesopen
38,other,0.15513704520562008,sub-01,NS,eyesopen
39,other,0.26365191358459084,sub-01,NS,eyesopen
40,other,0.17491693333325967,sub-01,NS,eyesopen
41,other,0.20541628648180504,sub-01,NS,eyesopen
42,other,0.20727843694743278,sub-01,NS,eyesopen
43,other,0.27410359077879615,sub-01,NS,eyesopen
44,other,0.17021153500679,sub-01,NS,eyesopen
45,other,0.14150442244040742,sub-01,NS,eyesopen
46,other,0.16983599747800796,sub-01,NS,eyesopen
47,other,0.17211133269901607,sub-01,NS,eyesopen
48,other,0.13553746013852794,sub-01,NS,eyesopen
49,other,0.20886401295636683,sub-01,NS,eyesopen
50,other,0.2895786281366064,sub-01,NS,eyesopen
51,other,0.19164509560235865,sub-01,NS,eyesopen
52,other,0.17465283861346487,sub-01,NS,eyesopen
53,other,0.19719540225436172,sub-01,NS,eyesopen
54,other,0.1325061130634032,sub-01,NS,eyesopen
55,other,0.1796848630286421,sub-01,NS,eyesopen
56,other,0.21490975826485884,sub-01,NS,eyesopen
57,other,0.1859262461621401,sub-01,NS,eyesopen
58,other,0.18501550442951695,sub-01,NS,eyesopen
59,other,0.21292028219525197,sub-01,NS,eyesopen
60,other,0.1515657146191829,sub-01,NS,eyesopen
61,other,0.22321641834492842,sub-01,NS,eyesopen
62,other,0.21420466883935976,sub-01,NS,eyesopen
63,other,0.1588543595918879,sub-01,NS,eyesopen
64,other,0.14506450409210825,sub-01,NS,eyesopen
65,other,0.26165724428564613,sub-01,NS,eyesopen
66,other,0.21285427229059922,sub-01,NS,eyesopen
67,other,0.18137458355849242,sub-01,NS,eyesopen
